# soft_gypsilab
180	0	0.005126
190	0	0.007229
200	0	0.011025
210	0	0.014851
220	0	0.016973
230	0	0.016105
240	0	0.013120
250	0	0.011587
260	0	0.010788
270	0	0.008964
280	0	0.007167
290	0	0.005901
300	0	0.005046
310	0	0.004511
320	0	0.004170
330	0	0.003939
340	0	0.003703
350	0	0.003368
0	0	0.003771
10	0	0.005108
20	0	0.003233
30	0	0.006733
40	0	0.019477
50	0	0.024367
60	0	0.015999
70	0	0.003193
80	0	0.004873
90	0	0.005087
100	0	0.004182
110	0	0.004405
120	0	0.004481
130	0	0.004409
140	0	0.004435
150	0	0.004584
160	0	0.004723
170	0	0.004730
180	0	0.005126
180	10	0.005097
190	10	0.007209
200	10	0.010982
210	10	0.014704
220	10	0.016700
230	10	0.015784
240	10	0.012902
250	10	0.011500
260	10	0.010741
270	10	0.008966
280	10	0.007198
290	10	0.005912
300	10	0.005024
310	10	0.004483
320	10	0.004162
330	10	0.003944
340	10	0.003691
350	10	0.003367
0	10	0.003876
10	10	0.005067
20	10	0.002931
30	10	0.007481
40	10	0.019713
50	10	0.023910
60	10	0.015381
70	10	0.002972
80	10	0.004906
90	10	0.005088
100	10	0.004181
110	10	0.004370
120	10	0.004440
130	10	0.004354
140	10	0.004345
150	10	0.004453
160	10	0.004585
170	10	0.004648
180	10	0.005097
180	20	0.005146
190	20	0.007375
200	20	0.010837
210	20	0.014120
220	20	0.015790
230	20	0.014807
240	20	0.012288
250	20	0.011282
260	20	0.010637
270	20	0.008972
280	20	0.007270
290	20	0.005965
300	20	0.005016
310	20	0.004411
320	20	0.004047
330	20	0.003779
340	20	0.003462
350	20	0.003269
0	20	0.004068
10	20	0.004795
20	20	0.002528
30	20	0.009269
40	20	0.020012
50	20	0.022495
60	20	0.013714
70	20	0.002451
80	20	0.004990
90	20	0.005091
100	20	0.004182
110	20	0.004278
120	20	0.004326
130	20	0.004212
140	20	0.004126
150	20	0.004115
160	20	0.004167
170	20	0.004353
180	20	0.005146
180	30	0.005366
190	30	0.007624
200	30	0.010596
210	30	0.013237
220	30	0.014399
230	30	0.013323
240	30	0.011402
250	30	0.010965
260	30	0.010478
270	30	0.008980
280	30	0.007385
290	30	0.006076
300	30	0.005052
310	30	0.004334
320	30	0.003854
330	30	0.003484
340	30	0.003201
350	30	0.003436
0	30	0.004369
10	30	0.004250
20	30	0.003671
30	30	0.011612
40	30	0.019888
50	30	0.020033
60	30	0.011189
70	30	0.002024
80	30	0.005104
90	30	0.005096
100	30	0.004196
110	30	0.004144
120	30	0.004131
130	30	0.003966
140	30	0.003781
150	30	0.003653
160	30	0.003699
170	30	0.004155
180	30	0.005366
180	40	0.005744
190	40	0.007906
200	40	0.010358
210	40	0.012251
220	40	0.012721
230	40	0.011553
240	40	0.010424
250	40	0.010584
260	40	0.010270
270	40	0.008991
280	40	0.007547
290	40	0.006264
300	40	0.005186
310	40	0.004360
320	40	0.003775
330	40	0.003421
340	40	0.003478
350	40	0.004104
0	40	0.004555
